Postcode,VAM Vaccinations
526,2
5268,1
527,2
5271,2
5275,2
528,2
529,4
5290,3
530,2
533,4
5330,1
534,1
5343,1
535,2
5355,2
5433,2
5453,1
55,3
5540,1
5554,1
5580,1
5583,1
5700,1
575,1
5880,1
6000,2
6004,2
6018,2
6019,1
6030,1
6053,1
6055,2
6056,2
6060,2
6061,1
6064,3
6065,6
6084,1
6100,1
6101,1
6105,1
6106,1
6112,1
6155,2
6157,2
6164,2
6210,5
6281,1
6286,1
6415,1
650,2
653,1
6530,2
6714,2
6725,1
6754,1
70,2
7005,4
7007,1
7008,2
7009,1
7018,4
7030,1
7050,1
7112,1
7216,1
7249,2
7270,2
73,4
7310,5
7322,1
74,1
75,3
754,1
758,1
759,1
763,2
770,1
773,1
774,1
79,1
790,1
795,1
798,1
80,2
800,3
880,2
9010,2
9998,2
9999,3
beverly hills,1
Bossley Park,1
NA,1
NSW,12
NSW 2141,2
Unknown,9
